Profil source;Profil compare;Rang;Score global;Similarite contenu;Similarite moyenne questions;Similarite lexicale;Similarite longueur;Similarite emotionnelle;Question la plus proche;Similarite question la plus proche;Sentiment source;Sentiment compare;Score sentiment source;Score sentiment compare;Reponse source - Si un documentaire devait être réalisé sur votre vie, quel en serait le titre et pourquoi ?;Reponse compare - Si un documentaire devait être réalisé sur votre vie, quel en serait le titre et pourquoi ?;Reponse source - Si vous pouviez vivre dans une époque différente, laquelle choisiriez-vous et pourquoi ?;Reponse compare - Si vous pouviez vivre dans une époque différente, laquelle choisiriez-vous et pourquoi ?;Reponse source - Imaginez que vous puissiez développer une nouvelle compétence instantanément. Laquelle ce serait ?;Reponse compare - Imaginez que vous puissiez développer une nouvelle compétence instantanément. Laquelle ce serait ?
Melanie (maman de Lila);Thibault;1;73.6;66.81;65.83;97.21;98.11;75.0;Si vous pouviez vivre dans une époque différente, laquelle choisiriez-vous et pourquoi ?;77.18;5 stars;4 stars;0.337;0.339;"Comment arrêter l'alcool pendant 9 mois et reprendre en moins de 9 secondes ? 
Vive la fin de la grossesse ! Désolée mais c'est le thème du mois 😂";Le titre serait « Envers et contre tous » car j’ai des objectifs et un parcours de vie qui sont éloignés des autres personnes de mon entourage;"Les années 1920. 
Les tenues sont trop stylées et la prohibition aussi (ca va encore avec le thème du mois d'ailleurs 😂)";Les années 1920, période Gatsby. Époque avec beaucoup plus d’élégance, de traditions, c’est l’époque de tout les possibles;Garder mon calme en toutes circonstances. Parce que vraiment ca m'énerve !;Capacité à mémoriser les choses à l’infini
Melanie (maman de Lila);Tam;2;73.33;67.52;68.34;86.72;97.3;75.0;Si vous pouviez vivre dans une époque différente, laquelle choisiriez-vous et pourquoi ?;75.69;5 stars;4 stars;0.337;0.253;"Comment arrêter l'alcool pendant 9 mois et reprendre en moins de 9 secondes ? 
Vive la fin de la grossesse ! Désolée mais c'est le thème du mois 😂";“Sans mode pause” = j’ai besoin de challenge au quotidien dans ma vie pro, perso ou via le sport. J’aime être entouré, échangé et me laisser inspiré par mon entourage. Bref je m’arrête jamais 🙃;"Les années 1920. 
Les tenues sont trop stylées et la prohibition aussi (ca va encore avec le thème du mois d'ailleurs 😂)";Les années 80’ pour l’ambiance explosif, la créativité, la convivialité de cette époque;Garder mon calme en toutes circonstances. Parce que vraiment ca m'énerve !;Être manuelle
Melanie (maman de Lila);Dad’;3;72.55;66.25;65.14;96.25;92.7;75.0;Si vous pouviez vivre dans une époque différente, laquelle choisiriez-vous et pourquoi ?;73.61;5 stars;4 stars;0.337;0.387;"Comment arrêter l'alcool pendant 9 mois et reprendre en moins de 9 secondes ? 
Vive la fin de la grossesse ! Désolée mais c'est le thème du mois 😂";« La vie : un long fleuve tranquille ». C’est la première chose qui m’est venue à l’esprit. J’ai laissé passer quelques heures mais je suis revenue à ce titre. Alors, le mot « long » est déjà un indice 😉. Et le fleuve est toujours en mouvement, il avance constamment et traverse moults belles aventures, parfois calmes, parfois agitées. Mais « tranquille » donne la tonalité majeure 😃;"Les années 1920. 
Les tenues sont trop stylées et la prohibition aussi (ca va encore avec le thème du mois d'ailleurs 😂)";Moyen-âge 😅😅😅. J’ai du y vivre dans une vie antérieure et j’en ai gardé quelques mots de vocabulaire 😅;Garder mon calme en toutes circonstances. Parce que vraiment ca m'énerve !;Don d’ubiquité (peut-être….)
Melanie (maman de Lila);Yann;4;71.96;66.52;60.45;91.48;74.59;100.0;Si un documentaire devait être réalisé sur votre vie, quel en serait le titre et pourquoi ?;66.38;5 stars;5 stars;0.337;0.525;"Comment arrêter l'alcool pendant 9 mois et reprendre en moins de 9 secondes ? 
Vive la fin de la grossesse ! Désolée mais c'est le thème du mois 😂";Confessions Nocturnes : La vie d’un somnambule. Ce pan de ma vie la rythme depuis maintenant plus de deux décennies pour le meilleur (anecdotes rigolotes) comme pour le pire (par toujours évident en couple hein);"Les années 1920. 
Les tenues sont trop stylées et la prohibition aussi (ca va encore avec le thème du mois d'ailleurs 😂)";Un futur lointain. Malgré toutes les dystopies aujourd’hui et cette suite très incertaines, je rêverai de voir les prouesses technologiques, l’impact sur nos vies et peut-être pourquoi pas la possibilité de découvrir l’espace de manière plus simple qu’aujourd’hui.;Garder mon calme en toutes circonstances. Parce que vraiment ca m'énerve !;La téléportation. Quel bonheur de pouvoir éviter ces trajets pas forcément utile et surtout en tant que globe trotter ça serait incroyable de pouvoir voyager partout sans payer un avion ou un logement (petite téléportation à la maison pour dormir), accéder à des endroits inaccessibles. Il faut quand même ne pas abuser de ce pouvoir et garder le plaisir de la découverte d’un lieu après un bon trek (et ce que l’on peut voir pendant).
Melanie (maman de Lila);Lou;5;71.48;61.69;59.73;89.03;97.84;100.0;Si vous pouviez vivre dans une époque différente, laquelle choisiriez-vous et pourquoi ?;66.71;5 stars;5 stars;0.337;0.414;"Comment arrêter l'alcool pendant 9 mois et reprendre en moins de 9 secondes ? 
Vive la fin de la grossesse ! Désolée mais c'est le thème du mois 😂";Repousse tes limites. Car ma vie est basée de pleins d’étapes qui m’ont toutes apprises à repousser de plus en plus mes propres limites;"Les années 1920. 
Les tenues sont trop stylées et la prohibition aussi (ca va encore avec le thème du mois d'ailleurs 😂)";Idéalement je ne changerai pas mais s’il faut choisir une époque ça serait la révolution française pour vivre ce grand changement en France (1789);Garder mon calme en toutes circonstances. Parce que vraiment ca m'énerve !;Pouvoir parler de nombreuses langues pour ainsi voyager dans beaucoup de pays et avoir potentiellement un meilleur carrière professionnelle
Melanie (maman de Lila);Matthieu;6;71.26;61.83;60.84;93.35;88.38;100.0;Imaginez que vous puissiez développer une nouvelle compétence instantanément. Laquelle ce serait ?;67.1;5 stars;5 stars;0.337;0.402;"Comment arrêter l'alcool pendant 9 mois et reprendre en moins de 9 secondes ? 
Vive la fin de la grossesse ! Désolée mais c'est le thème du mois 😂";"""Dans la vie d'un père presque parfait"" ,voilà le titre de mon film. Parce que personne n'est parfait mais ont avance chacun avec nos erreurs et essayons de les corriger avec le temps. Être père c'est aussi apprendre Jours après jours à élever nos enfants de ce que l'on pense être la meilleure des façons.";"Les années 1920. 
Les tenues sont trop stylées et la prohibition aussi (ca va encore avec le thème du mois d'ailleurs 😂)";"A l'époque de la seconde querre mondiale, pourquoi ?
Pour pouvoir défendre mon pays et mes prochains face a ce monde de fou.";Garder mon calme en toutes circonstances. Parce que vraiment ca m'énerve !;Voir dans l'avenir, pour pouvoir protéger ma famille et mes proches de tout problèmes éventuels. Que ce soit maladie,catastrophe ou autres.
Melanie (maman de Lila);Emilie;7;70.67;60.05;58.26;95.36;94.59;100.0;Si vous pouviez vivre dans une époque différente, laquelle choisiriez-vous et pourquoi ?;65.74;5 stars;5 stars;0.337;0.41;"Comment arrêter l'alcool pendant 9 mois et reprendre en moins de 9 secondes ? 
Vive la fin de la grossesse ! Désolée mais c'est le thème du mois 😂";"La multi vie !
Parce j'aime avoir plein de projets et d'idées différentes, et de pouvoir en réaliser un maximum avec un minimum de concessions : le boulot passion, la maison, les voyages, et peut être d'autres ?";"Les années 1920. 
Les tenues sont trop stylées et la prohibition aussi (ca va encore avec le thème du mois d'ailleurs 😂)";Je dirai peut être la période des découvertes du monde, de l'Amérique etc, pour le côté aventure et nouveauté, mais si possible sans la partie mise en escalavage;Garder mon calme en toutes circonstances. Parce que vraiment ca m'énerve !;Apprendre une langue en 20 min, pour pouvoir apprendre et échanger partout où je vais !
Melanie (maman de Lila);Camille;8;70.6;58.46;64.44;89.72;95.14;100.0;Si vous pouviez vivre dans une époque différente, laquelle choisiriez-vous et pourquoi ?;72.83;5 stars;5 stars;0.337;0.388;"Comment arrêter l'alcool pendant 9 mois et reprendre en moins de 9 secondes ? 
Vive la fin de la grossesse ! Désolée mais c'est le thème du mois 😂";Les amitiés incroyables, parce qu’on s’entourent de personnes qu’on aiment , qu’il y a des hauts et des bas dans toutes les amitiés mais la finalité c’est qu’on est toujours là les uns pour les autres. Oui c’est un peu nian-nian mais laisser moi rêver un peu !;"Les années 1920. 
Les tenues sont trop stylées et la prohibition aussi (ca va encore avec le thème du mois d'ailleurs 😂)";Dans les années 90-2000 mais en étant déjà adulte , parce qu’on va pas se mito les sons étaient quand meme pas mal !;Garder mon calme en toutes circonstances. Parce que vraiment ca m'énerve !;Me téléporter
Melanie (maman de Lila);Pauline;9;70.6;58.57;60.63;95.36;96.49;100.0;Si vous pouviez vivre dans une époque différente, laquelle choisiriez-vous et pourquoi ?;62.66;5 stars;5 stars;0.337;0.47;"Comment arrêter l'alcool pendant 9 mois et reprendre en moins de 9 secondes ? 
Vive la fin de la grossesse ! Désolée mais c'est le thème du mois 😂";La vie est un long fleuve tranquille, parce que jusqu’à présent tout se passe pas trop mal;"Les années 1920. 
Les tenues sont trop stylées et la prohibition aussi (ca va encore avec le thème du mois d'ailleurs 😂)";La Grèce Antique, car c’est une des plus anciennes civilisation, mais aussi une des plus développée concernant l’art, la culture, la démocratie, la philosophie, etc.;Garder mon calme en toutes circonstances. Parce que vraiment ca m'énerve !;Être bilingue en anglais
Melanie (maman de Lila);Sullyvan;10;70.38;60.21;56.43;95.04;94.86;100.0;Si vous pouviez vivre dans une époque différente, laquelle choisiriez-vous et pourquoi ?;62.87;5 stars;5 stars;0.337;0.593;"Comment arrêter l'alcool pendant 9 mois et reprendre en moins de 9 secondes ? 
Vive la fin de la grossesse ! Désolée mais c'est le thème du mois 😂";Sully le Magnifique. De l’ego et un zeste d’humilité parce que c’était pas toujours classe. Mais ça mettrait en avant une vie pleine de pleins de choses.;"Les années 1920. 
Les tenues sont trop stylées et la prohibition aussi (ca va encore avec le thème du mois d'ailleurs 😂)";"Époque de Louis 14 le roi soleil en étant le roi bien évidemment. Mais en vrai notre époque de maintenant je la trouve vraiment pas mal. 
La préhistoire me branche aussi parce que pas besoin de travailler, juste vivre.";Garder mon calme en toutes circonstances. Parce que vraiment ca m'énerve !;Apprendre et maitriser un langage (langue, informatique, morse, toute sorte de langage)
